port_code,port_name,city,country
NONIA,Hammarvika - Frøya,Hammarvika - Froya,Norway
NONKB,Nordkjosbotn,Nordkjosbotn,Norway
NONOD,Norddal,Norddal,Norway
NONOK,Nordkapp,Nordkapp,Norway
NONOL,Nordlenangen,Nordlenangen,Norway
NONOM,Nordmela,Nordmela,Norway
NONOR,Nordreisa,Nordreisa,Norway
NONRY,Nærøy,Naroy,Norway
NONSB,Nesseby,Nesseby,Norway
NONSF,Nordskaget - Frøya,Nordskaget - Froya,Norway
NONSN,Nesna,Nesna,Norway
NONST,Nesset,Nesset,Norway
NONTY,Nøtterøy,Notteroy,Norway
NONVK,Narvik,Narvik,Norway
NONYE,Nyelv,Nyelv,Norway
NONYH,Nyhamna,Nyhamna,Norway
NONZC,Larsnes,Larsnes,Norway
NONZL,Glesvær,Glesvar,Norway
NONZY,Tromsdalen,Tromsdalen,Norway
NOODD,Odda,Odda,Norway
NOOKF,Øksfjord,Oksfjord,Norway
NOOKS,Oksnes,Oksnes,Norway
NOOLA,Ørland,Orland,Norway
NOOLD,Olden,Olden,Norway
NOOLL,Olderdalen,Olderdalen,Norway
NOOLN,Ølen,Olen,Norway
NOOLR,Oldervik,Oldervik,Norway
NOOLT,Frafjord,Frafjord,Norway
NOOLV,Ølve,Olve,Norway
NOOMA,Omastranda,Omastranda,Norway
NOOMB,Ombo,Ombo,Norway
NOOOS,Os,Os,Norway
NOOPG,Oppegård,Oppegard,Norway
NOORD,Orkdal,Orkdal,Norway
NOORK,Orkanger,Orkanger,Norway
NOORS,Ørsta,Orsta,Norway
NOORV,Ortnevik,Ortnevik,Norway
NOOSE,Osnes - Vindafjord,Osnes - Vindafjord,Norway
NOOSG,Ørskog,Orskog,Norway
NOOSL,Oslo,Oslo,Norway
NOOSN,Osen,Osen,Norway
NOOST,Osterøy,Osteroy,Norway
NOOSY,Namsos,Namsos,Norway
NOOTA,Ottersøya,Ottersoya,Norway
NOOTO,Ottersøy,Ottersoy,Norway
NOOYB,Bogøy,Bogoy,Norway
NOOYG,Øygarden,Oygarden,Norway
NOPAR,Porsanger,Porsanger,Norway
NOPOR,Porsgrunn,Porsgrunn,Norway
NORAD,Råde,Rade,Norway
NORAF,Rafnes,Rafnes,Norway
NORAM,Ramsund,Ramsund,Norway
NORAU,Rauma,Rauma,Norway
NORAY,Radøy,Radoy,Norway
NORBV,Raudbergvika,Raudbergvika,Norway
NORDB,Randaberg,Randaberg,Norway
NORDY,Rødøy,Rodoy,Norway
NOREE,Re,Re,Norway
NOREK,Rekefjord,Rekefjord,Norway
NOREN,Rennesøy,Rennesoy,Norway
NOREP,Repparfjord,Repparfjord,Norway
NORES,Raunes - Vindafjord,Raunes - Vindafjord,Norway
NORET,Røst,Rost,Norway
NORFJ,Reinfjord,Reinfjord,Norway
NORIS,Risør,Risor,Norway
NORIV,Risavika,Risavika,Norway
NORMB,Ramberg,Ramberg,Norway
NORMV,Ramsvika,Ramsvika,Norway
NORNA,Rana,Rana,Norway
NOROA,Roan,Roan,Norway
NOROG,Rognan,Rognan,Norway
NOROM,Gjerdsvika,Gjerdsvika,Norway
NOROV,Rovde,Rovde,Norway
NOROY,Snarøya,Snaroya,Norway
NORPV,Repvåg,Repvag,Norway
NORSD,Raudsand,Raudsand,Norway
NORSH,Risøyhamn,Risoyhamn,Norway
NORSS,Rissa,Rissa,Norway
NORTL,Rutledal,Rutledal,Norway
NORUB,Rubbestadneset,Rubbestadneset,Norway
NORUN,Runde,Runde,Norway
NORVK,Rørvik,Rorvik,Norway
NORYF,Rypefjord,Rypefjord,Norway
NOSAA,Skaland,Skaland,Norway
NOSAC,Salangsverket,Salangsverket,Norway
NOSAF,Sandeid,Sandeid,Norway
NOSAG,Vormedal,Vormedal,Norway
NOSAI,Sandviksberget,Sandviksberget,Norway
NOSAK,Stakkvik,Stakkvik,Norway
NOSAL,Salangen,Salangen,Norway
NOSAM,Samnanger,Samnanger,Norway
NOSAN,Skaun,Skaun,Norway
NOSAS,Sandnes,Sandnes,Norway
NOSAT,Salten,Salten,Norway
NOSAU,Sauda,Sauda,Norway
NOSAX,Sand,Sand,Norway
NOSAY,Sandøya,Sandoya,Norway
NOSBA,Stord base,Stord base,Norway
NOSBT,Botn - Sandnessjøen,Botn - Sandnessjoen,Norway
NOSBU,Salsbruket,Salsbruket,Norway
NOSDI,Sandvika,Sandvika,Norway
NOSDL,Saltdal,Saltdal,Norway
NOSDT,Stadlandet,Stadlandet,Norway
NOSDZ,Stordal,Stordal,Norway
NOSEI,Skånevik,Skanevik,Norway
NOSEJ,Seljeli,Seljeli,Norway
NOSEV,Selva,Selva,Norway
NOSGJ,Straumsgjerde,Straumsgjerde,Norway
NOSGT,Skorgeneset,Skorgeneset,Norway
NOSHT,Stanghelle,Stanghelle,Norway
NOSID,Sævareid,Savareid,Norway
NOSIH,Siholmen,Siholmen,Norway
NOSIP,Skipavik - Gulen,Skipavik - Gulen,Norway
NOSIS,Sunde,Sunde,Norway
NOSJE,Selje,Selje,Norway
NOSJH,Senjahopen,Senjahopen,Norway
NOSJO,Sjøholt,Sjoholt,Norway
NOSJU,Sjursøja/Oslo,Sjursoja/Oslo,Norway
NOSJV,Sjøvegan,Sjovegan,Norway
NOSKB,Skibotn,Skibotn,Norway
NOSKE,Skien,Skien,Norway
NOSKF,Skiftun,Skiftun,Norway
NOSKH,Skjærhalden,Skjarhalden,Norway
NOSKI,Skjerkøya,Skjerkoya,Norway
NOSKK,Stokksund,Stokksund,Norway
NOSKL,Skånland,Skanland,Norway
NOSKN,Stokmarknes,Stokmarknes,Norway
NOSKO,Skodje,Skodje,Norway
NOSKU,Skudeneshavn,Skudeneshavn,Norway
NOSKV,Skålevik,Skalevik,Norway
NOSKX,Skogn,Skogn,Norway
NOSKY,Skjervøy,Skjervoy,Norway
NOSKZ,Skarsvåg,Skarsvag,Norway
NOSLD,Solund,Solund,Norway
NOSLG,Slagentangen,Slagentangen,Norway
NOSLH,Salthella,Salthella,Norway
NOSLM,Slemmestad,Slemmestad,Norway
NOSLN,Skjolden,Skjolden,Norway
NOSLV,Sløvåg,Slovag,Norway
NOSLX,Sortland,Sortland,Norway
NOSMN,Sømna,Somna,Norway
NOSMO,Smøla,Smola,Norway
NOSND,Sund,Sund,Norway
NOSNE,Søgne,Sogne,Norway
NOSNF,Snefjord,Snefjord,Norway
NOSNI,Snillfjord,Snillfjord,Norway
NOSNL,Standal,Standal,Norway
NOSNS,Steinesjøen,Steinesjoen,Norway
NOSNV,Snekkevik,Snekkevik,Norway
NOSOF,Sørfold,Sorfold,Norway
NOSOG,Sogndal,Sogndal,Norway
NOSOJ,Sørkjosen,Sorkjosen,Norway
NOSOK,Sokndal,Sokndal,Norway
NOSOR,Sørarnoy,Sorarnoy,Norway
NOSOS,Svolvær Osan,Svolvar Osan,Norway
NOSOV,Sövik,Sovik,Norway
NOSOY,Storøya,Storoya,Norway
NOSPG,Sarpsborg,Sarpsborg,Norway
NOSPK,Skipavik,Skipavik,Norway
NOSPV,Spjelkavik,Spjelkavik,Norway
NOSRA,Sørreisa,Sorreisa,Norway
NOSRD,Sigerfjord,Sigerfjord,Norway
NOSRH,Skarholmen,Skarholmen,Norway
NOSRK,Skrolsvik,Skrolsvik,Norway
